,GLRLM1,GLRLM2,correlation_0,homogeneity_90,contrast_90,ASM_135,energy_135,Label
0,197.758,1325.999,0.091815092,0.043543163,724.2567568,0.000587731,0.024243173,1
1,178.594,1209.055,0.060982575,0.039169105,1161.941441,0.000425632,0.020630844,1
2,658.003,2076.151,0.470765962,0.075707946,473.543758,0.000701153,0.0264793,1
3,733.415,2225.635,0.248953221,0.067699721,462.8043758,0.000778366,0.02789922,1
4,396.062,1644.964,0.286362698,0.087418034,262.2168597,0.000863253,0.029381168,1
5,352.417,1546.557,0.02466857,0.069416067,528.5083655,0.000661108,0.02571202,1
6,215.997,1395.583,0.16092792,0.074917224,312.1261261,0.000857738,0.029287161,1
7,567.556,2062.68,0.09935212,0.066829546,623.8056628,0.000656792,0.025627947,1
8,201.82,1380.744,0.280206127,0.054241474,536.3320463,0.000525385,0.022921287,1
9,697.682,2297.322,0.481514396,0.068018954,436.1853282,0.000557757,0.023616888,1
10,691.996,2263.53,0.242082647,0.095752934,197.4298584,0.001069714,0.032706489,1
11,1248.83,2784.121,0.13693886,0.105180983,301.0643501,0.000895385,0.029922989,1
12,467.183,1852.867,0.038622798,0.081154048,364.7303732,0.000933272,0.030549508,1
13,121.424,1094.114,0.06111456,0.031017449,1778.612613,0.00042803,0.020688877,1
14,518.081,1818.675,0.199530264,0.047046312,733.7232947,0.000514595,0.022684681,1
15,530.687,1850.348,0.479694371,0.092170936,355.8912484,0.000671659,0.025916381,1
16,219.753,1447.436,0.239238876,0.03568954,1123.092664,0.000468075,0.021635041,1
17,454.13,1802.407,0.457072053,0.098234866,219.8706564,0.000879559,0.029657359,1
18,97.654,999.971,0.024294935,0.029960319,1579.034749,0.000420836,0.020514284,1
19,375.63,1534.331,0.412131779,0.047857503,1527.883526,0.000457284,0.021384207,1
20,265.346,1359.248,-0.026971117,0.058779845,780.0881596,0.000515554,0.022705812,1
21,791.035,1966.805,0.295527018,0.035155868,1366.700129,0.000448172,0.021170078,1
22,484.981,1825.324,0.532074566,0.078479406,247.7271557,0.000709066,0.026628302,1
23,551.51,2019.526,0.127437521,0.088637897,211.5006435,0.00119009,0.034497685,1
24,455.771,1721.039,0.220780639,0.039818463,1300.611969,0.000514835,0.022689965,1
25,610.784,2175.12,0.250602384,0.063252097,710.0694981,0.000643843,0.02537406,1
26,324.63,1622.209,0.575873026,0.067493016,650.6042471,0.000534498,0.023119202,1
27,227.796,1353.795,0.248297826,0.042741357,1050.008366,0.000471912,0.021723528,1
28,122.631,1090.197,0.101842842,0.027000171,1834.857786,0.000418438,0.020455756,1
29,292.233,1565.569,0.244652142,0.039158184,797.5302445,0.000521309,0.02283219,1
30,152.066,1255.68,0.106976708,0.057302774,548.2516088,0.000535457,0.023139937,1
