,GLRLM2,GLRLM4,correlation_135,contrast_90,contrast_135,energy_45,energy_90,energy_135,Label
0,1325.999,26.788,0.151101909,724.2567568,648.615651,0.024341884,0.023713675,0.024243173,1
1,1209.055,29.344,0.126657887,1161.941441,2013.83518,0.020671484,0.02023193,0.020630844,1
2,2076.151,17.197,0.649037477,473.543758,333.3767313,0.024552767,0.025018027,0.0264793,1
3,2225.635,16.092,0.04893765,462.8043758,454.7569252,0.027343611,0.027696704,0.02789922,1
4,1644.964,21.731,0.138383625,262.2168597,302.549169,0.029446387,0.028946802,0.029381168,1
5,1546.557,23.013,0.223251033,528.5083655,537.367036,0.025131921,0.02500975,0.02571202,1
6,1395.583,25.504,0.068427194,312.1261261,314.2458449,0.029608807,0.028968252,0.029287161,1
7,2062.68,17.316,0.162729758,623.8056628,649.6828255,0.026031781,0.025509749,0.025627947,1
8,1380.744,25.728,0.398010847,536.3320463,647.8400277,0.023196862,0.022896328,0.022921287,1
9,2297.322,15.571,0.414064872,436.1853282,796.7686981,0.023859326,0.023516405,0.023616888,1
10,2263.53,15.798,0.470496404,197.4298584,155.2666205,0.0300629,0.030790682,0.032706489,1
11,2784.121,12.951,-0.078361809,301.0643501,464.4362881,0.032721149,0.032466505,0.029922989,1
12,1852.867,19.231,0.240785443,364.7303732,315.2555402,0.029147639,0.028481719,0.030549508,1
13,1094.114,32.394,-0.153983131,1778.612613,2332.49723,0.0208735,0.020221694,0.020688877,1
14,1818.675,19.561,0.376870917,733.7232947,828.050554,0.022973535,0.022563852,0.022684681,1
15,1850.348,19.25,0.493332708,355.8912484,786.6211911,0.025994909,0.026652892,0.025916381,1
16,1447.436,24.572,0.132492595,1123.092664,1111.873269,0.021718008,0.02149716,0.021635041,1
17,1802.407,19.816,0.447759878,219.8706564,222.4750693,0.029368923,0.02941157,0.029657359,1
18,999.971,35.39,0.27947677,1579.034749,1775.227147,0.020397059,0.020041714,0.020514284,1
19,1534.331,23.142,0.200738039,1527.883526,1923.461911,0.021596213,0.021054373,0.021384207,1
20,1359.248,26.074,-0.020530398,780.0881596,1029.16482,0.023088065,0.022950521,0.022705812,1
21,1966.805,18.079,0.317902471,1366.700129,1191.191136,0.021473728,0.02079712,0.021170078,1
22,1825.324,19.575,0.36873443,247.7271557,329.3663435,0.028633033,0.027335526,0.026628302,1
23,2019.526,17.681,-0.0146618,211.5006435,239.4155125,0.03389463,0.033693266,0.034497685,1
24,1721.039,20.71,0.48377975,1300.611969,939.4771468,0.021429014,0.021598052,0.022689965,1
25,2175.12,16.463,-0.007857924,710.0694981,925.7506925,0.027466111,0.025976233,0.02537406,1
26,1622.209,21.942,0.487603906,650.6042471,1221.115651,0.023510035,0.022819335,0.023119202,1
27,1353.795,26.209,0.253872471,1050.008366,1098.657202,0.02154619,0.021196485,0.021723528,1
28,1090.197,32.45,0.160052536,1834.857786,2143.91205,0.020520128,0.019989993,0.020455756,1
29,1565.569,22.673,0.348065904,797.5302445,793.8711911,0.02211734,0.021959312,0.02283219,1
30,1255.68,28.276,0.255520365,548.2516088,636.8220222,0.023464092,0.023321905,0.023139937,1
31,1526.996,23.407,0.057364356,382.1975547,395.7596953,0.027976468,0.026869523,0.027670517,1
32,1042.669,34.064,-0.018050707,1156.495495,1357.771468,0.02129431,0.021337651,0.021557316,1
33,1283.465,27.636,0.172637396,816.9092664,1288.790166,0.021395418,0.021284215,0.021640582,1
34,1581.574,22.432,0.302843253,1040.214929,1056.783241,0.021662732,0.021240396,0.021361768,1
35,1424.285,24.91,0.388139837,639.9478764,781.4709141,0.022868919,0.021578871,0.02207393,1
36,1382.886,25.651,0.084757626,903.1814672,913.0360111,0.022700531,0.022586781,0.022921287,1
37,2090.288,16.966,0.251093072,553.0611326,503.1918283,0.024577171,0.024596544,0.025350423,1
38,1297.415,27.276,0.015389092,770.2664093,806.6668975,0.023438529,0.023281921,0.023763656,1
39,1702.624,21.118,-0.1475947,1800.704633,2223.18144,0.021623954,0.020334009,0.021119045,1
40,1316.912,26.997,0.272467756,1055.998713,1037.587258,0.021668266,0.021569274,0.022434894,1
41,1879.334,19.011,0.2665545,709.8693694,602.6932133,0.02579117,0.026308869,0.026865879,1
42,1787.033,20.009,0.226359848,471.2908623,577.416205,0.025088949,0.026127236,0.025814403,1
43,1956.873,18.247,0.430129962,188.7413127,204.9882271,0.031964917,0.032840606,0.033157935,1
44,1419.22,25.092,0.226073083,581.3069498,650.0914127,0.024596677,0.024274564,0.024498993,1
